expiration,maturity,number_of_parity_pairs,prepaid_forward,discount_factor,forward,implied_rate,parity_rmse,parity_success
2023-09-08,0.038329911019849415,157,4409.91151536505,0.9976538524364376,4420.2821495605,0.061281229660252325,0.17526984341609064,True
2023-09-11,0.04654346338124572,146,4410.148779883574,0.9975423132922321,4421.014247835332,0.05286911627210994,0.16953250957174446,True
2023-09-12,0.049281314168377825,103,4410.104174354947,0.9974014780044826,4421.593783055459,0.05279696894874469,0.34345376621428586,True
2023-09-13,0.05201916495550993,108,4409.648771477338,0.9971536566188869,4422.235973570431,0.0547952263753462,0.2635251304863515,True
2023-09-14,0.05475701574264202,100,4409.52951559614,0.9969501242382953,4423.019174570217,0.05578346572449119,0.2491639839958008,True
2023-09-15,0.057494866529774126,281,4408.99106159431,0.9967187497208894,4423.5056908771485,0.057164153675100506,0.269168923352607,True
2023-09-18,0.06570841889117043,133,4408.540549281623,0.9964631656983246,4424.188169757487,0.05392160923649119,0.29746997575067047,True
2023-09-19,0.06844626967830253,93,4408.505043510417,0.9962949959449497,4424.899313409789,0.0542306337540335,0.17589697878700342,True
2023-09-20,0.07118412046543464,103,4408.135317076773,0.9960711393842426,4425.522578439349,0.05530164365125905,0.21444242545384598,True
2023-09-21,0.07392197125256673,81,4409.302193492011,0.9959378802007561,4427.286361076261,0.05506336681722271,0.1497157266323949,True
2023-09-22,0.07665982203969883,162,4408.786213658259,0.9956715831115343,4427.952236901784,0.05658520315763277,0.1777655432744656,True
2023-09-25,0.08487337440109514,105,4408.361647293084,0.9954338735263952,4428.583117908324,0.053922482807999335,0.4706053436862162,True
2023-09-26,0.08761122518822724,44,4409.686679500145,0.9956131521010093,4429.1165400884165,0.0501819069474836,0.33900709468298523,True
2023-09-29,0.09582477754962354,329,4407.746188522256,0.9946180117727369,4431.596991357717,0.056316575306380026,0.22414811539491547,True
2023-10-02,0.10403832991101986,45,4407.668989979077,0.994437780026845,4432.322542954967,0.053612420784384295,0.26692874632809893,True
2023-10-06,0.11498973305954825,108,4405.755248363743,0.9932870376782722,4435.530799497634,0.05857562603066808,0.18312340487458986,True
2023-10-13,0.13415468856947296,71,4405.8841059262295,0.9925079604522185,4439.14233586476,0.056056526435099834,0.510742772972127,True
2023-10-20,0.15331964407939766,302,4405.077867007354,0.9913683765076506,4443.43189816622,0.05654260267827203,0.28996214696394157,True
2023-10-31,0.1834360027378508,322,4404.954729849593,0.9900665170731137,4449.1502882773475,0.05442306307832377,0.23540593048277117,True
2023-11-17,0.2299794661190965,293,4399.766242221538,0.9870435187918096,4457.520016551115,0.05670570835344086,0.3406830631169874,True
2023-11-30,0.2655715263518138,293,4399.337563096266,0.985448319100848,4464.3006414688,0.055196410789193136,0.5136412477023048,True
2023-12-15,0.3066392881587953,270,4394.99559327879,0.9827490080251452,4472.14452254765,0.05674916665747664,0.3123204768889955,True
2023-12-29,0.34496919917864477,318,4394.641532492003,0.9801956001970782,4483.433236803365,0.0579852788108384,0.526975674396426,True
2024-01-19,0.4024640657084189,222,4391.848417562311,0.9768659145831056,4495.855932732189,0.05815644261106782,0.27695038039116937,True
2024-01-31,0.4353182751540041,144,4392.1251917164445,0.9755159377813504,4502.361285563009,0.056944039346268946,0.4993517362616541,True
2024-02-16,0.4791238877481177,207,4387.305829938812,0.9724938729288495,4511.3968859522065,0.05821355301382452,0.13415194546952183,True
2024-03-15,0.5557837097878165,118,4381.838401895057,0.9684080104960364,4524.785373936135,0.05775948718794542,0.1815499239840889,True
2024-03-28,0.5913757700205339,109,4380.924689841345,0.9663211921347541,4533.611314228967,0.057931022435044006,0.7661442409696976,True
2024-04-19,0.6516084873374401,116,4378.034815283502,0.9631502802283851,4545.536563873884,0.057620221120110164,0.207415878510517,True
2024-05-17,0.7282683093771389,114,4372.831902065768,0.9590114924259673,4559.728362591377,0.057468133477022294,0.22355402507520258,True
2024-06-21,0.8240930869267625,131,4367.195338020221,0.9539616896940964,4577.956730548199,0.057192284028628554,0.28639879440305904,True
2024-06-28,0.8432580424366872,100,4367.6841956701555,0.9532617428320544,4581.830990819122,0.056762887726765125,0.7421772636009255,True
2024-07-19,0.9007529089664613,124,4364.068822899536,0.950070278686328,4593.416845892473,0.05686278562005393,0.28179443611012295,True
2024-08-16,0.9774127310061602,125,4359.6476013653255,0.946211900240185,4607.4749221170005,0.05656641993105867,0.30807432009036184,True
2024-09-20,1.0732375085557837,120,4352.540924821109,0.9413613837070464,4623.666320027876,0.05630456487376592,0.28991427777970397,True
2024-12-20,1.322381930184805,66,4339.259786561547,0.9298548629903173,4666.599013750313,0.05499679378123215,0.5739726726445117,True
2025-06-20,1.8206707734428473,77,4340.997647689037,0.9150927639689153,4743.7787933776035,0.04873469643871004,4.761574109391991,True
