number_of_evaluation_points,rmse,mae,maximum_absolute_error,bias,seed,method,shared_valid_fraction
69,0.01177048927204821,0.00903338084121445,0.025424546620451488,-0.00903338084121445,0,constant_reference,0.8846153846153846
69,0.040026780371272275,0.022508286645420157,0.16047066245154004,-0.006278760683887595,0,raw_dupire,0.8846153846153846
69,0.04246335812003463,0.019721668148628937,0.3045597844150211,-0.000792638977078055,0,smoothed_dupire,0.8846153846153846
69,0.0013553565740522455,0.001046435426786749,0.0038749848129621955,0.0009512853869846772,0,ssvi_dupire,0.8846153846153846
69,0.007074447717790411,0.005651877070609055,0.016482664553711113,0.0015658498922806435,0,operator_regularized_linearized,0.8846153846153846
72,0.011769700354876707,0.009019983654288407,0.025424546620451488,-0.009019983654288407,1,constant_reference,0.9230769230769231
72,0.03458181434587602,0.020665823570777803,0.1165978681355986,-0.009486738540385075,1,raw_dupire,0.9230769230769231
72,0.026432145940148526,0.015634507175707354,0.1542488467295635,-0.0034209611772900305,1,smoothed_dupire,0.9230769230769231
72,0.00120949909370949,0.0009694261156329154,0.0033433577528765857,4.7419208620195894e-05,1,ssvi_dupire,0.9230769230769231
72,0.0047733389274049656,0.0039041374831142914,0.012137827325944206,0.0007555840345982113,1,operator_regularized_linearized,0.9230769230769231
73,0.012289774030299381,0.00942878214267534,0.027224546620451484,-0.00942878214267534,2,constant_reference,0.9358974358974359
73,0.052386938287216925,0.02898526106972506,0.27225054306016677,-0.0017959299718941072,2,raw_dupire,0.9358974358974359
73,0.030604391375226882,0.018390911228030656,0.13823509094037975,-0.0038987655431114597,2,smoothed_dupire,0.9358974358974359
73,0.0011314685356513033,0.0008155657389192255,0.003872460392041005,0.0005397946498912411,2,ssvi_dupire,0.9358974358974359
73,0.006200779740893785,0.005077105753720868,0.019875166163183383,-0.00017118802668691962,2,operator_regularized_linearized,0.9358974358974359
69,0.011758891847602348,0.009016564288245049,0.025424546620451488,-0.009016564288245049,3,constant_reference,0.8846153846153846
69,0.07844049002757432,0.029204097066644386,0.588772878265722,0.007469732884367697,3,raw_dupire,0.8846153846153846
69,0.04960396754230902,0.01980872692531827,0.3729294443938975,0.001665319054251963,3,smoothed_dupire,0.8846153846153846
69,0.001447305506536609,0.0010763863477886756,0.0036614018788918012,0.0004020737797869753,3,ssvi_dupire,0.8846153846153846
69,0.005796055117328389,0.004526903119718878,0.01584113635411369,0.0014201819358985726,3,operator_regularized_linearized,0.8846153846153846
72,0.011603986673073522,0.008933128792646449,0.025424546620451488,-0.008933128792646449,4,constant_reference,0.9230769230769231
72,0.043817873998626994,0.025600604090600124,0.16557361592873163,-0.009507581676891495,4,raw_dupire,0.9230769230769231
72,0.024984931236582516,0.016923189222558366,0.09256203114950613,-0.008218221145972933,4,smoothed_dupire,0.9230769230769231
72,0.0016313924533607727,0.0012821358419242018,0.005287784977044907,-0.00037181239223980575,4,ssvi_dupire,0.9230769230769231
72,0.004408875020555595,0.003308728445292148,0.014508986750012054,0.00034509397861284667,4,operator_regularized_linearized,0.9230769230769231
71,0.012371335497686334,0.009416242780351022,0.027224546620451484,-0.009416242780351022,5,constant_reference,0.9102564102564102
71,0.03448958455138801,0.02120603058848739,0.11102793322126517,-0.0049533663950071995,5,raw_dupire,0.9102564102564102
71,0.02103286476534838,0.014608119290552427,0.09655831927790429,-0.0029555225953128766,5,smoothed_dupire,0.9102564102564102
71,0.001994785672334193,0.0013891249703480181,0.005701272874868463,-0.0003414391172153127,5,ssvi_dupire,0.9102564102564102
71,0.005724520684232757,0.004509849156306134,0.020858602539833515,-0.00038677520188316357,5,operator_regularized_linearized,0.9102564102564102
