number_of_evaluation_points,rmse,mae,maximum_absolute_error,bias,seed,method,shared_valid_fraction
69,0.01294981510816178,0.007353976497576399,0.0461558173193318,-0.007353976497576399,0,constant_reference,0.8846153846153846
69,0.03976616251258949,0.02379903769016368,0.1624910414706199,-0.006477519145215224,0,raw_dupire,0.8846153846153846
69,0.024682999029927592,0.018165425101909445,0.0787096485756817,-0.007210383327095067,0,smoothed_dupire,0.8846153846153846
69,0.01002847406718436,0.006900668499918801,0.03141253555122231,0.0039914080962662754,0,ssvi_dupire,0.8846153846153846
69,0.00393024800038588,0.003210349775297418,0.009087332978325341,0.0015914146792518583,0,operator_regularized_linearized,0.8846153846153846
72,0.012676202339151479,0.007041288165485652,0.0461558173193318,-0.007041288165485652,1,constant_reference,0.9230769230769231
72,0.03381726115839351,0.02109124510856276,0.10933298716483032,-0.010605801075732878,1,raw_dupire,0.9230769230769231
72,0.025299800831082533,0.01615820662618718,0.11929695321445213,-0.0037193732738680253,1,smoothed_dupire,0.9230769230769231
72,0.00940595459914555,0.0066773313889830445,0.030098888502168297,0.003999059199004722,1,ssvi_dupire,0.9230769230769231
72,0.0028987974566907363,0.002258700203790884,0.008091082155180396,0.0011915898592729643,1,operator_regularized_linearized,0.9230769230769231
73,0.012591900992480936,0.006984714970604848,0.0461558173193318,-0.006984714970604848,2,constant_reference,0.9358974358974359
73,0.051311360022786606,0.030038902666715207,0.25454926655923643,-0.004155638140591889,2,raw_dupire,0.9358974358974359
73,0.0333404840364982,0.01983700148105347,0.1688522827027027,-0.008812286269288526,2,smoothed_dupire,0.9358974358974359
73,0.010360965554935146,0.00723718285673322,0.030704124834399965,0.004134063906336463,2,ssvi_dupire,0.9358974358974359
73,0.0026409800487518093,0.002152997750549798,0.005253385044513836,0.0011062032325346008,2,operator_regularized_linearized,0.9358974358974359
69,0.012949606345294703,0.0073451730805642,0.0461558173193318,-0.0073451730805642,3,constant_reference,0.8846153846153846
69,0.04444449064924379,0.024956924789858913,0.24881097447306208,0.0010542984038190775,3,raw_dupire,0.8846153846153846
69,0.026319740458085307,0.017758849077375027,0.10096193515315642,-0.003322007934649963,3,smoothed_dupire,0.8846153846153846
69,0.009441711453013516,0.006552315013047862,0.029071746314604324,0.0037872277023109397,3,ssvi_dupire,0.8846153846153846
69,0.003399663016715758,0.0028580281005042064,0.006789722075647153,0.0013142751348860682,3,operator_regularized_linearized,0.8846153846153846
71,0.012760824831680652,0.007103235193242466,0.0461558173193318,-0.007103235193242466,4,constant_reference,0.9102564102564102
71,0.040798246093437913,0.024957363151430552,0.1471069409164853,-0.009988589946564253,4,raw_dupire,0.9102564102564102
71,0.023886855931934937,0.017382002421305293,0.075182203405264,-0.005749137112330889,4,smoothed_dupire,0.9102564102564102
71,0.010406516969258282,0.007273999270277728,0.030539702207847158,0.004183268348858953,4,ssvi_dupire,0.9102564102564102
71,0.002609986408299197,0.0018454821911896018,0.008637441910576388,0.0010750013263706774,4,operator_regularized_linearized,0.9102564102564102
70,0.01285346950776766,0.007200377689508859,0.0461558173193318,-0.007200377689508859,5,constant_reference,0.8974358974358975
70,0.03143719334098046,0.019924889970826327,0.1149601167568501,-0.007400385922738016,5,raw_dupire,0.8974358974358975
70,0.022937893359331767,0.0169869497611466,0.06051192248503917,-0.007930583237115282,5,smoothed_dupire,0.8974358974358975
70,0.009501870770209711,0.006752733564280617,0.028137445457112414,0.002692860520209807,5,ssvi_dupire,0.8974358974358975
70,0.00248657928159769,0.002191996542270231,0.00459310220159681,0.00048534232046586705,5,operator_regularized_linearized,0.8974358974358975
71,0.012765159230151701,0.007140413779831921,0.0461558173193318,-0.007140413779831921,6,constant_reference,0.9102564102564102
71,0.03939895513163679,0.023952761611318662,0.13649486507064912,-0.009398431984037567,6,raw_dupire,0.9102564102564102
71,0.024137688691737737,0.01633812232359563,0.08349228438513276,-0.005581948715446985,6,smoothed_dupire,0.9102564102564102
71,0.010083618628930802,0.007191446021475982,0.030296889706824315,0.002917356740455665,6,ssvi_dupire,0.9102564102564102
71,0.0038847536127259814,0.002809767611922007,0.009475212906265212,0.00114043867754054,6,operator_regularized_linearized,0.9102564102564102
71,0.012766120481298292,0.007146822247293539,0.0461558173193318,-0.007146822247293539,7,constant_reference,0.9102564102564102
71,0.03684569429614942,0.021118880352092664,0.19719809532829924,-0.004091557309666942,7,raw_dupire,0.9102564102564102
71,0.019804354033197337,0.014629559238871803,0.0633694888066233,-0.003921229491849131,7,smoothed_dupire,0.9102564102564102
71,0.009605967396319031,0.006771915182298196,0.03068647493909779,0.004044530930891901,7,ssvi_dupire,0.9102564102564102
71,0.0033328967882091825,0.002755092705295525,0.00884937767638766,0.0007615867341765067,7,operator_regularized_linearized,0.9102564102564102
71,0.012764201973808897,0.007122728814868275,0.0461558173193318,-0.007122728814868275,8,constant_reference,0.9102564102564102
71,0.05990197407881863,0.029228481398235976,0.3944374341533877,-0.0038505852138720235,8,raw_dupire,0.9102564102564102
71,0.14779142420324073,0.03890153634992042,1.0577069977519706,0.020449825975618886,8,smoothed_dupire,0.9102564102564102
71,0.009471453555716712,0.006775114031767963,0.027124539435605388,0.004039375185391602,8,ssvi_dupire,0.9102564102564102
71,0.002629058061130116,0.002104595437873869,0.007663655619729481,0.001007902270605016,8,operator_regularized_linearized,0.9102564102564102
73,0.012589708963831207,0.006957693322668408,0.0461558173193318,-0.006957693322668408,9,constant_reference,0.9358974358974359
73,0.03200747074995076,0.020749385516706895,0.10844686038054951,-0.010333659272685003,9,raw_dupire,0.9358974358974359
73,0.02458219902262927,0.017647619454748027,0.07378900958237664,-0.00483042375448895,9,smoothed_dupire,0.9358974358974359
73,0.009832030275598848,0.0069428722160213814,0.02813940149486094,0.003238882087440395,9,ssvi_dupire,0.9358974358974359
73,0.0030133955526213904,0.0024400191708931172,0.006255781989973175,0.0011846771012058665,9,operator_regularized_linearized,0.9358974358974359
